X451Lu_Resist_BR2_1	X451Lu_Resist_BR2_2	X451Lu_Resist_BR3_27r	X451Lu_Resist_BR3_28r	X451Lu_Par_Par13	X451Lu_Par_Par19
ADCY1	5176	1100	1681	1387	3132	968
ADCY10	4	2	1	0	0	1
ADCY10P1	239	52	59	69	172	154
ADCY2	4832	679	1647	1077	2125	1604
ADCY3	5108	833	2145	1382	3004	2013
ADCY4	0	0	0	0	0	0
ADCY5	113	14	43	34	8	1
ADCY6	2247	374	529	422	1104	879
ADCY7	377	69	164	121	291	308
ADCY8	0	0	0	0	0	0
ADCY9	2758	362	572	423	1070	948
ADCYAP1	0	0	0	0	0	0
ADCYAP1R1	0	0	0	0	0	0
ADD1	4869	702	2824	2074	2603	2365
ADD2	2	0	98	90	2	0
ADD3	5889	896	2954	1947	4434	4689
ADD3-AS1	0	0	4	0	2	2
ADGB	0	0	0	0	0	0
ADGRA1	0	0	0	0	0	0
ADGRA1-AS1	0	0	0	0	0	0
ADGRA2	2113	358	464	321	1036	579
ADGRA3	2058	362	2052	1391	1418	1122
ADGRB1	95	10	61	44	44	17
ADGRB2	1656	223	344	220	291	277
ADGRB3	394	46	16	12	117	83
ADGRD1	4	0	4	1	1	4
ADGRE1	46	16	2	0	12	16
ADGRE2	90	7	25	23	44	36
ADGRE3	1	0	1	0	0	0
ADGRE4P	0	0	0	1	0	0
ADGRE5	1759	235	372	333	729	578
ADGRF1	0	0	0	0	0	0
ADGRF2	2	0	0	0	1	1
ADGRF3	8	1	0	0	1	2
ADGRF4	1	1	0	0	0	0
ADGRF5	5	2	1	0	1	0
ADGRG1	26095	3077	4158	2462	7225	4903
ADGRG2	0	0	0	0	1	0
ADGRG3	18	1	5	0	7	3
ADGRG4	0	0	0	0	0	0
ADGRG5	0	1	1	0	0	1
ADGRG6	8764	1239	6202	4059	6853	6740
ADGRG7	0	0	0	0	0	0
ADGRL1	2611	400	400	345	978	817
ADGRL2	80	30	1766	1157	90	77
ADGRL3	20	3	10	9	7	2
ADGRL3-AS1	0	0	0	0	0	0
ADGRL4	0	0	0	0	0	1
ADGRV1	4	0	26	12	3	0
ADH1A	0	0	0	0	0	0
ADH1B	0	0	0	0	0	0
ADH1C	0	1	1	0	0	0
ADH4	0	0	0	0	0	0
ADH5	6465	961	3726	2207	5211	6189
ADH6	0	0	0	0	0	0
ADH7	0	0	0	0	0	0
ADHFE1	355	56	95	46	271	116
ADI1	3066	377	2088	1274	2013	2427
ADIG	0	0	0	0	0	1
ADIPOQ	0	0	0	0	0	0
ADIPOQ-AS1	0	0	0	0	0	0
ADIPOR1	11636	1705	4172	2441	7070	6867
ADIPOR2	8998	1287	2648	2569	5731	5673
ADIRF	0	0	0	0	0	0
ADK	1416	219	483	336	649	870
ADM	1962	543	1087	663	1539	1543
ADM2	84	18	0	0	238	129
ADM5	80	9	20	13	42	32
ADNP	8177	1093	1902	1639	4495	3257
ADNP-AS1	4	2	8	10	26	12
ADNP2	3432	520	1122	769	1939	1903
ADO	3589	493	1648	1056	2286	1946
ADORA1	11	3	3	1	4	4
ADORA2A	5	1	1	1	0	1
ADORA2A-AS1	0	0	0	0	0	0
ADORA2B	419	85	362	224	419	448
ADORA3	3	0	0	1	0	0
ADPGK	2739	405	1897	1091	1630	1551
ADPGK-AS1	5	0	7	4	2	2
ADPRH	553	92	53	59	299	401
ADPRHL1	53	5	7	14	6	2
ADPRHL2	1710	313	623	465	1030	912
ADPRM	560	108	337	155	458	286
ADRA1A	0	0	0	0	0	0
ADRA1B	25	2	10	10	12	9
ADRA1D	0	0	0	0	0	0
ADRA2A	6	2	4	2	2	1
ADRA2B	0	0	0	0	0	0
ADRA2C	0	0	66	33	0	0
ADRB1	18	1	15	14	2	2
ADRB2	7	1	9	1	0	1
ADRB3	1	0	0	0	0	0
ADRBK1	3096	407	735	485	1868	1777
ADRBK2	14714	2374	6316	4670	9874	7331
ADRM1	5725	721	3117	1737	3404	3171
ADSL	12209	1961	8442	4830	9063	8431
ADSS	3963	611	1863	1306	3267	3079
ADSSL1	585	83	114	95	264	174
ADTRP	13	1	9	4	31	31
AEBP1	23504	3468	1563	1739	5664	2727
AEBP2	3844	554	919	841	2319	1761
AEN	2442	366	1720	1063	1594	1303
AES	8092	1229	1394	1228	3550	3056
AFAP1	311	74	577	391	213	194
AFAP1-AS1	10	1	0	3	0	2
AFAP1L1	7384	1190	2144	1376	3912	3663
AFAP1L2	480	114	95	47	228	213
AFF1	4131	549	795	674	1811	1743
AFF2	0	0	24	11	0	0
AFF3	2400	276	366	304	1034	446
AFF4	22702	3057	5634	5103	12694	11425
AFG3L1P	1039	154	803	545	708	511
AFG3L2	5815	902	5802	3377	3468	3737
AFM	1	0	0	0	0	0
AFMID	2311	410	942	648	2169	1226
AFP	0	0	0	0	0	0
AFTPH	3460	492	1699	979	2129	2270
AGA	1497	259	1225	682	1665	1409
AGAP1	5624	1036	1485	1160	3456	2827
AGAP1-IT1	142	16	63	44	81	66
AGAP11	64	17	19	20	33	22
AGAP2	141	29	48	34	30	14
AGAP2-AS1	695	74	214	128	343	244
AGAP3	22646	3521	1548	1099	6308	4312
AGAP4	458	80	247	182	329	228
AGAP5	202	39	136	60	174	123
AGAP6	821	101	369	272	458	297
AGAP7P	411	52	138	114	240	171
AGAP9	439	83	324	226	307	199
AGBL1	4	1	4	4	0	0
AGBL1-AS1	0	0	0	0	0	0
AGBL2	54	5	17	11	44	21
AGBL3	71	18	44	29	73	67
AGBL4	1	0	1	0	0	0
AGBL4-IT1	0	0	0	0	0	0
AGBL5	4481	746	1382	852	2661	2481
AGBL5-AS1	3	0	0	1	0	0
AGER	28	7	22	12	29	8
AGFG1	8437	1194	4573	3176	4469	4584
AGFG2	1198	171	333	229	510	590
AGGF1	2804	379	2242	1384	2017	2027
AGK	6898	1000	1301	776	2402	2324
AGL	4582	656	1938	1564	3083	2614
AGMAT	15	2	2	0	21	37
AGMO	117	16	14	5	81	68
AGO1	8318	1166	1913	1572	3725	3186
AGO2	2364	353	1344	1019	1435	1262
AGO3	1310	204	608	367	799	728
AGO4	5175	721	1376	849	3057	2542
AGPAT1	2932	400	840	579	1196	1159
AGPAT2	2966	388	617	461	1611	1213
AGPAT3	7180	1016	1319	981	3292	2871
AGPAT4	358	70	255	146	215	111
AGPAT4-IT1	49	6	37	27	17	18
AGPAT5	4868	740	4139	2503	4311	4381
AGPAT6	9173	1341	6830	4765	4451	4110
AGPAT9	1806	244	1141	689	1252	2068
AGPS	10497	1548	6989	4921	8054	7721
AGR2	0	0	0	0	0	0
AGR3	0	0	0	0	0	0
AGRN	13556	1379	970	663	4269	3607
AGRP	0	0	0	0	0	0
AGT	0	0	62	48	0	0
AGTPBP1	3823	565	1680	1076	2429	2928
AGTR1	0	0	6	1	2	2
AGTR2	0	0	0	0	0	0
AGTRAP	2496	364	736	432	1294	1661
AGXT	0	0	3	0	1	0
AGXT2	8	2	5	0	3	2
AHCTF1	6416	766	3736	2766	3999	4248
AHCTF1P1	3445	432	1969	1534	2183	2567
AHCY	29807	4732	14245	10403	20025	16186
AHCYL1	15086	2232	3666	2948	7825	9215
AHCYL2	2598	428	713	482	1351	1147
AHDC1	2820	227	175	184	596	344
AHI1	1352	197	921	630	1067	986
AHNAK	47788	7597	10401	10597	30459	31592
AHNAK2	3640	537	1565	1475	2372	1862
AHR	3374	576	1887	1157	2082	1539
AHRR	239	27	99	70	54	79
AHSA1	5635	867	4301	2662	3833	3532
AHSA2	2679	486	2025	1247	2618	1326
AHSG	0	0	0	0	0	1
AHSP	1	0	0	0	0	0
AICDA	0	1	0	0	0	0
AIDA	3595	492	835	971	1827	2061
AIF1	0	0	0	0	0	0
AIF1L	7078	1100	1021	683	3626	2893
AIFM1	4087	514	789	746	1942	3247
AIFM2	1543	232	473	475	837	578
AIFM3	99	16	82	47	88	32
AIG1	140	23	193	146	83	30
AIM1	2258	281	87	60	1089	2923
AIM1L	22	4	4	3	14	20
AIM2	2	1	0	0	0	2
AIMP1	2648	409	1354	898	2115	2010
AIMP2	1483	209	1167	700	1022	1272
AIP	2183	399	956	522	1840	1289
AIPL1	0	0	0	0	0	0
AIRE	0	0	0	0	0	0
AIRN	0	0	0	0	0	0
AJAP1	0	0	1	0	0	0
AJUBA	544	91	324	237	280	245
AK1	1039	163	368	232	575	615
AK2	11626	1971	6869	4251	9758	9648
